1,101,p
2,102,p
3,103,p
4,105,p
5,104,p
6,106,p
7,97,98,p
8,99,100,p
9,115,p
10,112,113,114,p
11,108,p
12,107,p
13,96,p
14,116,p
15,109,110,p
16,95,p
17,94,p
18,93,p
20,111,p
21,88,89,90,p
22,91,p
23,92,p
24,82,p
25,79,p
26,80,81,p
27,86,p
28,87,p
29,117,p
30,66,p
31,65,p
32,83,p
33,78,p
34,67,68,69,p
35,76,p
36,77,p
37,70,71,72,p
38,118,119,120,p
39,84,p
40,85,p
41,74,p
42,75,p
43,73,p
44,237,p
45,238,p
50,0,1,2,3,4,5,6,7,8,9,p
51,216,p
52,215,p
53,218,p
54,219,p
55,214,p
56,221,p
57,220,p
58,222,p
60,159,160,161,162,163,164,165,166,167,168,169,170,172,173,174,175,171,p
61,202,p
62,201,p
63,198,p
64,199,p
65,200,p
66,196,p
68,195,p
70,212,p
72,210,p
80,194,p
83,193,p
84,228,p
85,229,p
86,230,p
87,231,p
88,232,p
89,233,p

1,10,b
2,11,b
3,12,b
4,13,b
5,14,b
6,15,b
7,61,b
8,16,17,b
9,18,b
10,62,63,64,b
11,19,b
12,20,b
13,21,b
14,22,b
15,23,24,b
16,25,b
17,26,b
18,27,b
19,28,29,b
20,30,b
21,31,b
22,45,b
23,40,b
24,32,b
25,33,b
26,34,35,b
27,36,b
28,37,b
29,38,b
30,39,b
31,44,b
32,46,b
33,47,b
34,41,42,43,b
35,56,b
36,48,b
37,49,50,51,b
38,52,53,54,b
39,60,b
40,59,b
41,57,b
42,58,b
43,55,b
52,217,b
53,223,b
54,226,b
55,213,b
56,224,b
57,225,b
58,227,b
60,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,b
61,204,b
62,203,b
63,211,b
65,205,b
66,208,b
68,206,b
80,207,b
84,236,b
85,235,b
89,234,b
